City_ID,lon,temp,temp_max,humidity,wind_speed,lat,date,country,cloudiness
288,132.9,-20.3,-20.3,92,2.46,53.1333,1670466854,RU,100
289,-85.1999,16.15,17.78,94,0.0,32.3502,1670466854,US,20
290,27.0923,9.97,9.97,81,4.12,38.4622,1670466759,TR,20
291,10.6554,23.89,23.89,90,2.17,-3.432,1670466855,GA,100
292,-87.4237,4.72,5.5,83,1.54,41.5284,1670466855,US,100
293,156.5167,-2.14,-2.14,67,10.75,51.5,1670466856,RU,100
294,36.5833,1.11,1.11,75,2.25,40.4167,1670466856,TR,100
295,41.9211,-9.28,-9.28,92,2.82,64.2956,1670466857,RU,86
296,77.2092,19.77,19.77,55,1.94,13.6606,1670466857,IN,96
297,24.6667,11.59,11.59,29,3.13,14.2,1670466858,SD,0
298,13.84,16.14,16.14,24,1.27,-18.0607,1670466858,NA,0
299,116.8289,29.55,29.55,62,1.54,-1.2675,1670466727,ID,20
300,-135.0538,-2.57,-2.57,93,5.66,60.7161,1670466651,CA,75
301,-115.7999,-33.01,-33.01,75,2.06,60.8156,1670466859,CA,20
302,128.1814,31.08,31.08,66,3.09,-3.6954,1670466648,ID,20
303,12.6896,0.46,1.57,89,1.01,48.9112,1670466860,DE,97
304,96.1667,22.45,22.45,30,0.96,27.9167,1670466861,IN,23
305,-59.5167,25.03,25.03,87,3.09,13.2167,1670466787,BB,20
306,114.0833,-32.39,-32.39,100,3.29,71.9167,1670466861,RU,100
307,76.5667,16.86,16.86,35,1.08,24.4167,1670466862,IN,4
308,-59.5333,22.05,24.73,88,3.09,13.0667,1670466862,BB,20
309,-75.833,7.51,8.9,90,4.12,42.2506,1670466863,US,100
310,39.7956,-9.85,-9.85,73,5.49,55.1282,1670466863,RU,39
311,49.8164,23.42,23.42,83,5.58,7.9803,1670466863,SO,97
312,59.5386,-22.6,-22.6,93,1.05,50.7587,1670466864,RU,17
313,47.2833,19.66,19.66,95,0.97,-22.8167,1670466801,MG,78
314,10.85,13.78,13.78,35,1.64,30.3333,1670466864,LY,100
315,20.2827,19.06,19.06,25,2.65,11.0297,1670466865,TD,33
316,15.8999,21.09,21.09,97,0.92,-0.4819,1670466865,CG,100
317,107.0303,9.41,9.41,57,0.49,33.0728,1670466866,CN,8
318,25.0865,17.13,17.13,57,3.28,31.7561,1670466866,LY,13
319,-65.3245,21.32,21.32,93,2.48,9.3503,1670466867,VE,96
320,2.3488,3.07,3.95,95,2.06,48.8534,1670466474,FR,100
321,10.347,-5.57,-5.54,98,1.62,46.4631,1670466867,IT,70
322,17.366,20.0,20.0,25,2.15,9.3627,1670466868,TD,70
323,53.3971,2.08,2.08,80,0.66,35.5729,1670466868,IR,19
324,57.6608,25.21,25.22,74,6.26,-20.0064,1670466868,MU,16
325,123.3827,27.5,27.5,71,3.51,12.4841,1670466869,PH,98
326,35.3833,24.3,24.3,85,1.42,-23.865,1670466869,MZ,21
327,98.5174,-4.06,-4.06,56,1.17,39.7432,1670466870,CN,5
328,-73.7833,10.48,10.48,67,0.97,-15.0333,1670466875,PE,95
329,39.0333,11.54,11.54,47,2.35,12.0333,1670466875,ET,0
330,-35.4608,25.56,25.56,80,5.85,-5.1989,1670466876,BR,85
331,109.0172,10.24,10.24,53,0.93,32.68,1670466876,CN,66
332,34.4667,-5.95,-5.95,95,3.41,62.9167,1670466706,RU,100
333,-10.0711,25.48,25.48,34,2.8,20.5022,1670466877,MR,66
334,25.9704,2.86,2.86,75,13.38,70.9821,1670466877,NO,75
335,-158.0072,26.14,26.97,67,9.26,21.3156,1670466592,US,20
336,1.3862,0.53,1.5,90,0.45,51.3813,1670466878,GB,21
337,48.5268,26.23,26.23,81,7.33,5.3505,1670466879,SO,100
338,-66.8654,1.9,3.12,100,1.71,50.0334,1670466879,CA,100
339,-63.1414,24.2,24.2,90,0.96,-4.085,1670466879,BR,93
340,47.6,23.18,23.18,88,1.74,-23.35,1670466880,MG,67
341,34.4509,14.11,14.11,68,1.63,1.3965,1670466880,UG,99
342,-109.0565,-5.4,-4.86,69,1.34,44.5263,1670466881,US,0
343,58.3672,-20.25,-20.25,98,1.38,53.9194,1670466881,RU,12
344,74.9804,-17.66,-17.66,85,7.0,46.844,1670466881,KZ,75
345,-97.0667,26.46,26.46,73,0.0,15.85,1670466882,MX,0
346,-42.0278,23.17,23.17,90,5.91,-22.9661,1670466878,BR,0
347,-6.6363,24.8,24.8,90,1.94,4.7485,1670466882,CI,16
348,23.3716,15.72,15.72,83,1.21,-34.0527,1670466883,ZA,0
349,10.0886,-3.15,-1.77,68,1.23,55.5669,1670466883,DK,99
350,-27.9833,15.41,15.41,77,11.17,39.05,1670466883,PT,74
351,81.2335,23.23,23.23,79,11.48,8.5711,1670466884,LK,100
352,167.7167,12.97,12.97,96,1.24,-45.4167,1670466884,NZ,100
353,-89.3168,-23.05,-23.01,77,2.06,48.4001,1670466885,CA,0
354,-7.1664,-0.49,-0.49,86,10.8,62.1564,1670466885,FO,40
355,143.3525,-0.99,-0.99,64,3.6,44.3525,1670466885,JP,75
356,-78.1522,18.56,18.56,88,2.96,-10.0681,1670466886,PE,98
357,-47.4833,23.32,23.32,84,0.58,-2.9667,1670466886,BR,69
358,-70.7656,23.4,23.4,88,1.06,-8.1614,1670466835,BR,100
359,-70.4833,17.92,17.92,82,0.92,-25.4,1670466886,CL,23
360,-35.1478,24.77,24.77,79,2.97,-8.8978,1670466887,BR,40
361,43.2844,26.23,26.23,77,2.76,-11.3847,1670466887,KM,9
362,156.125,-2.12,-2.12,65,8.54,50.6789,1670466888,RU,85
363,24.7314,19.94,19.94,74,1.79,-34.0033,1670466888,ZA,82
364,-8.3327,12.18,12.26,94,2.89,40.1629,1670466888,PT,100
365,-82.5271,17.63,19.19,83,2.33,33.194,1670466889,US,95
366,55.2,-8.28,-8.28,62,4.28,45.3167,1670466889,KZ,0
367,129.4833,19.51,19.51,58,7.22,28.3667,1670466890,JP,73
368,-79.5389,10.07,11.63,92,3.09,40.3015,1670466665,US,100
369,150.85,-39.92,-39.92,93,3.46,65.75,1670466890,RU,16
370,79.8333,22.99,22.99,72,8.45,11.2333,1670466890,IN,100
371,-4.0197,26.98,26.98,94,2.06,5.3094,1670466667,CI,20
372,44.8013,-13.27,-13.27,20,5.12,53.2084,1670466891,RU,6
373,70.8333,-13.81,-13.81,88,3.87,66.8333,1670466896,RU,100
374,113.4974,-9.96,-9.96,57,5.0,52.1352,1670466897,RU,14
375,113.2792,-14.13,-14.13,74,4.45,46.6806,1670466897,MN,5
376,-97.5169,22.91,23.99,91,5.68,28.017,1670466898,US,0
377,44.2833,25.88,25.88,78,2.37,-20.2833,1670466898,MG,1
378,-105.25,21.74,21.74,95,0.58,19.9333,1670466898,MX,2
379,135.7,-12.17,-12.17,58,3.2,51.6667,1670466899,RU,8
380,124.1572,25.07,25.07,78,8.23,24.3448,1670466899,JP,75
381,106.3439,-2.49,-2.49,38,0.58,39.2342,1670466899,CN,99
382,122.95,26.57,26.57,80,4.49,10.6667,1670466900,PH,99
383,21.5482,17.67,17.67,39,4.79,29.0331,1670466900,LY,88
384,14.2845,13.64,13.64,92,1.95,-22.116,1670466900,NA,0
385,55.4781,23.82,23.82,78,3.09,-21.3393,1670466901,RE,100
386,44.0669,-14.04,-14.04,88,3.93,56.3567,1670466901,RU,12
387,27.6208,14.67,14.67,70,2.31,-28.3197,1670466901,ZA,69
388,16.5887,18.45,18.45,76,7.54,31.2089,1670466902,LY,43
389,-15.2082,-3.15,-3.15,59,8.33,64.2539,1670466902,IS,0
390,127.6694,23.01,23.21,56,10.8,26.1247,1670466903,JP,20
391,25.7214,-4.48,-4.48,94,4.62,59.5764,1670466903,EE,100
392,26.6595,19.76,19.76,82,1.51,-23.688,1670466904,BW,96
393,-60.4388,30.2,30.2,36,4.68,-26.7852,1670466669,AR,21
394,-149.3333,29.01,29.01,82,6.78,-17.5333,1670466904,PF,100
395,9.7833,21.0,21.0,26,2.44,7.85,1670466904,NG,99
396,152.8535,29.45,29.45,79,4.02,-25.2986,1670466905,AU,40
397,44.1277,14.36,14.36,39,0.66,17.4924,1670466905,SA,0
398,39.5131,-7.58,-7.58,93,3.14,68.0531,1670466906,RU,65
399,-88.2667,21.15,21.15,86,3.38,21.2833,1670466906,MX,0
400,103.5347,-18.46,-18.46,80,0.93,48.8125,1670466906,MN,3
401,147.981,16.76,16.76,51,10.03,-37.8811,1670466907,AU,37
402,127.7558,22.6,22.81,56,10.8,26.1842,1670466907,JP,20
403,-85.8591,10.0,10.63,97,2.57,37.694,1670466850,US,100
404,-44.3586,23.99,23.99,75,0.51,-9.0744,1670466908,BR,98
405,6.7931,24.74,24.74,89,1.4,4.7084,1670466908,NG,98
406,-70.6483,22.69,23.47,39,4.12,-33.4569,1670466600,CL,0
407,30.2869,14.14,14.14,72,2.28,36.3703,1670466909,TR,38
408,-2.7215,11.1,11.94,83,2.86,43.4209,1670466909,ES,97
409,39.7666,24.56,24.56,85,2.15,-5.2459,1670466909,TZ,4
410,-71.3436,14.85,14.85,100,4.12,-29.9533,1670466796,CL,0
411,-57.6007,26.49,26.49,27,4.95,-30.2752,1670466910,UY,16
412,128.7333,34.99,34.99,41,3.6,-15.7667,1670466910,AU,13
413,64.5495,-13.64,-13.64,88,3.18,58.5198,1670466911,RU,85
414,-25.4333,14.0,14.23,88,5.03,37.7167,1670466912,PT,43
415,93.45,-3.88,-3.88,41,1.28,42.8,1670466912,CN,66
416,114.9675,31.5,31.5,57,1.3,-8.19,1670466913,ID,83
417,-40.4975,22.16,22.16,95,2.99,-20.6667,1670466913,BR,100
418,57.5333,17.94,17.94,65,0.83,22.9333,1670466913,OM,0
419,104.55,27.4,27.4,72,4.61,12.1667,1670466914,KH,100
420,-83.3888,23.43,23.43,88,3.62,14.0351,1670466914,NI,2
421,-70.4,18.6,18.6,82,1.07,-23.65,1670466914,CL,27
422,124.8925,29.78,29.78,52,1.61,-9.1061,1670466920,ID,96
423,12.6934,2.92,2.92,52,8.26,67.667,1670466920,NO,85
424,27.2453,13.11,13.11,58,5.14,31.3525,1670466921,EG,0
425,165.677,27.01,27.01,79,3.45,-21.6924,1670466921,NC,52
426,44.4009,9.95,9.95,93,2.57,33.3406,1670466765,IQ,100
427,-60.6733,23.99,23.99,88,1.03,2.8197,1670466922,BR,75
428,19.5333,20.02,20.02,98,0.08,-4.05,1670466922,CD,100
429,13.45,19.7,19.7,86,0.95,4.2333,1670466923,CM,98
430,-87.6307,-4.24,-3.73,65,4.48,45.1,1670466848,US,49
431,3.9054,-0.31,-0.18,100,1.54,46.4154,1670466640,FR,100
432,133.0839,-1.94,-1.94,45,6.08,42.7297,1670466693,RU,3
433,141.8833,5.8,5.8,56,7.02,39.2667,1670466924,JP,14
434,-71.6273,17.8,17.8,67,3.6,-33.0393,1670466924,CL,0
435,-121.4238,9.39,10.99,77,2.57,38.421,1670466924,US,0
436,135.8667,16.38,16.38,52,5.88,-34.7333,1670466661,AU,4
437,12.1522,19.76,19.76,80,1.75,-15.1961,1670466925,AO,10
438,165.15,27.86,27.86,78,2.52,-21.35,1670466735,NC,40
439,-158.1547,26.16,26.97,58,5.14,21.3906,1670466926,US,20
440,28.155,16.77,16.77,94,1.21,-13.5091,1670466926,ZM,91
441,-128.6534,0.51,0.51,29,0.88,54.0524,1670466800,CA,100
442,79.2634,16.27,16.27,37,2.58,27.0247,1670466926,IN,0
443,152.4333,28.98,28.98,68,3.22,-3.6667,1670466425,PG,100
444,-8.1588,7.61,7.61,81,3.81,42.0304,1670466927,PT,100
445,130.9889,34.85,34.85,16,6.6,-25.2406,1670466927,AU,8
446,7.0304,23.27,23.27,95,0.88,5.4833,1670466927,NG,97
447,-16.4493,24.25,24.25,59,5.32,14.6955,1670466928,SN,3
448,142.1667,-10.49,-10.49,66,6.51,49.6333,1670466928,RU,100
449,-124.2179,7.62,7.99,92,4.63,43.3665,1670466675,US,100
450,97.2,-6.04,-6.04,70,1.94,40.2833,1670466929,CN,32
451,73.0167,24.3,24.3,54,2.38,18.0333,1670466929,IN,100
452,115.95,24.9,26.17,52,5.14,-32.0167,1670466707,AU,75
453,150.7333,34.88,34.88,42,5.36,-23.1333,1670466930,AU,5
454,101.7667,-3.15,-3.15,57,0.53,36.6167,1670466930,CN,76
455,-9.3811,14.23,15.16,92,6.53,39.3558,1670466712,PT,92
456,-3.9836,25.15,25.15,15,3.26,22.6783,1670466931,ML,73
457,-56.0861,21.91,21.91,93,0.55,-9.8756,1670466931,BR,37
458,18.9667,16.74,16.74,21,0.47,-22.45,1670466932,NA,0
459,50.288,8.99,8.99,91,2.7,37.1376,1670466932,IR,99
460,-78.8867,18.1,19.08,88,1.54,33.6891,1670466708,US,100
461,75.0834,-20.32,-20.32,98,3.38,54.8377,1670466932,RU,74
462,12.558,-9.92,-6.78,61,1.57,56.1997,1670466933,SE,6
463,173.7833,16.07,16.07,92,8.59,-35.1,1670466933,NZ,100
464,-93.1338,15.01,15.1,94,0.0,35.2784,1670466934,US,100
465,-91.9167,25.58,25.58,76,2.31,14.3,1670466939,GT,1
466,51.65,-4.91,-4.91,58,5.89,43.2,1670466939,KZ,4
467,-68.5364,32.69,32.69,20,2.15,-31.5375,1670466749,AR,82
468,77.5833,-6.38,-6.38,44,0.99,34.1667,1670466940,IN,92
469,80.5333,16.2,16.2,40,1.68,25.6167,1670466940,IN,20
470,77.2406,-4.33,-4.33,37,0.93,38.4167,1670466941,CN,0
471,37.1841,11.74,11.74,73,1.45,35.3029,1670466941,SY,96
472,74.371,-18.72,-18.72,94,3.65,56.8944,1670466941,RU,92
473,-100.7654,-6.06,-6.06,73,6.17,41.1239,1670466697,US,0
474,-41.0511,22.3,22.3,94,3.6,-21.6403,1670466942,BR,100
475,150.8552,21.7,21.7,45,5.1,-34.5833,1670466942,AU,13
476,-64.7981,22.95,22.95,98,0.39,-7.2586,1670466942,BR,100
477,-39.9167,26.44,26.44,79,6.8,-2.9248,1670466943,BR,59
478,-85.452,22.39,22.39,84,2.99,10.1483,1670466943,CR,2
479,-50.6133,22.58,22.58,77,1.08,-15.8233,1670466944,BR,98
480,100.0,22.37,22.37,83,1.03,18.0833,1670466944,TH,20
481,11.3581,21.19,21.19,99,0.3,-2.4008,1670466944,GA,100
482,105.8933,5.27,5.27,55,1.41,34.5686,1670466945,CN,36
483,58.1873,-22.68,-22.68,92,1.72,51.5026,1670466945,RU,69
484,3.042,6.9,6.9,100,1.03,36.7525,1670466946,DZ,20
485,29.8333,21.63,21.63,30,2.87,9.2333,1670466946,SS,33
486,99.825,-24.35,-24.35,84,0.93,52.5178,1670466946,RU,64
487,50.1667,23.58,23.58,80,4.13,-14.2667,1670466947,MG,9
488,4.3989,11.8,11.8,78,2.25,36.3868,1670466947,DZ,14
489,-120.4579,9.47,11.55,88,0.0,34.6391,1670466947,US,0
490,77.6992,19.13,19.13,77,4.12,13.2325,1670466948,IN,20
491,-6.589,0.51,0.51,72,14.65,62.2266,1670466948,FO,100
492,85.85,19.29,19.29,41,6.21,19.8,1670466948,IN,59
493,-44.2467,20.49,20.49,98,0.78,-19.4658,1670466949,BR,100
494,-0.4044,0.24,1.48,90,0.45,54.2797,1670466714,GB,92
495,-115.95,14.05,14.05,70,5.33,30.4833,1670466949,MX,0
496,87.9563,-21.44,-21.44,97,0.68,50.6321,1670466949,RU,81
497,-39.4817,22.5,22.5,75,3.59,-9.8414,1670466950,BR,70
498,-17.4441,24.49,24.49,84,8.59,14.6937,1670466950,SN,1
499,177.4833,-18.72,-18.72,65,3.0,64.75,1670466950,RU,0
500,143.9935,18.44,18.44,86,1.53,-6.2821,1670466951,PG,100
501,28.734,19.5,19.5,81,2.16,-9.3451,1670466951,ZM,84
502,112.4714,-21.07,-21.07,98,1.02,63.0128,1670466952,RU,100
503,45.4667,25.92,25.92,77,1.11,-19.5167,1670466952,MG,0
504,25.8338,16.05,16.05,84,1.67,-13.4584,1670466952,ZM,37
505,1.4078,22.39,22.39,17,4.88,18.4411,1670466953,ML,0
506,-124.2243,7.64,7.95,92,4.63,43.4065,1670466953,US,100
507,152.9167,26.61,26.61,55,8.14,-31.4333,1670466756,AU,23
508,11.3842,-8.09,-8.09,86,0.51,62.5747,1670466954,NO,100
509,15.0925,18.43,18.43,76,8.24,32.3754,1670466954,LY,94
510,167.4833,24.89,24.89,81,3.75,-22.6667,1670466954,NC,60
511,-94.4337,-22.46,-22.35,70,4.12,49.8167,1670466692,CA,20
512,-59.5939,26.54,26.54,72,0.15,-4.3878,1670466960,BR,100
513,118.3319,-40.49,-40.49,100,0.65,63.2842,1670466960,RU,67
514,131.2,12.98,12.98,46,4.9,34.3833,1670466961,JP,100
515,38.1067,-5.53,-5.53,85,6.15,50.2035,1670466961,RU,100
516,-21.9206,-5.02,-4.97,71,3.77,64.5383,1670466961,IS,5
517,24.4833,-4.95,-4.95,94,5.87,64.6833,1670466726,FI,100
518,-86.5333,16.66,16.66,95,1.5,14.8333,1670466962,HN,12
519,-34.8086,25.33,25.33,78,3.71,-7.4706,1670466962,BR,21
520,119.1986,18.72,18.72,64,4.24,25.4872,1670466963,CN,19
521,102.2634,12.33,12.33,51,0.9,27.8964,1670466963,CN,2
522,-62.2724,23.16,23.16,63,4.63,-38.7196,1670466732,AR,1
523,-70.7581,20.72,20.72,61,2.54,-28.5708,1670466964,CL,100
524,120.7524,30.24,30.24,60,2.07,-1.3959,1670466744,ID,100
525,-73.2459,14.42,14.42,96,2.92,-39.8142,1670466964,CL,27
526,-58.7368,20.09,20.09,74,2.77,-38.5473,1670466964,AR,100
527,118.3755,8.59,8.59,87,1.56,31.3366,1670466965,CN,100
528,142.8333,-9.59,-9.59,72,3.85,49.75,1670466730,RU,92
529,-10.7969,25.54,25.54,85,1.87,6.3005,1670466854,LR,13
530,32.1833,21.01,21.01,23,5.25,12.35,1670466966,SD,100
531,74.4859,-13.16,-13.16,95,4.53,65.85,1670466966,RU,100
532,91.6419,-18.01,-18.01,83,1.77,48.0056,1670466966,MN,48
533,108.9,25.25,25.25,88,1.04,0.7,1670466967,ID,100
534,75.2418,-18.29,-18.29,93,3.75,56.3724,1670466967,RU,95
535,-52.2064,25.03,25.03,77,1.38,-3.2033,1670466968,BR,92
536,73.1786,-5.11,-5.11,91,1.39,42.8728,1670466968,KZ,100
537,5.1167,1.97,1.97,87,2.57,47.3167,1670466968,FR,100
538,146.4167,-27.27,-27.27,100,1.34,68.5333,1670466821,RU,100
539,51.5333,23.57,23.99,83,1.54,25.2867,1670466752,QA,20
540,-151.0167,26.97,26.97,77,7.31,-16.7,1670466969,PF,100
541,-86.1758,4.65,6.53,94,2.39,39.447,1670466970,US,100
542,-122.7002,-17.81,-17.23,82,2.06,58.8053,1670466719,CA,100
543,114.53,-10.91,-10.91,71,8.62,51.1,1670466970,RU,37
544,-101.865,-20.92,-20.92,99,1.05,54.7682,1670466970,CA,99
545,-13.564,20.12,20.12,88,5.66,29.0605,1670466963,ES,75
546,167.55,31.37,31.37,70,0.0,-13.8833,1670466971,VU,29
547,-7.4966,22.11,22.11,95,1.1,6.5456,1670466971,CI,2
548,144.9667,20.14,20.14,25,7.85,-35.5333,1670466972,AU,2
549,115.8257,19.34,19.34,70,2.92,22.8134,1670466972,CN,13
550,127.4902,-13.68,-13.68,79,1.56,50.2441,1670466972,CN,4
551,29.0864,1.82,1.97,69,12.35,70.8578,1670466973,NO,100
552,87.9833,-14.44,-14.44,95,7.41,65.8167,1670466973,RU,100
553,-73.9167,15.54,15.54,82,0.77,-12.65,1670466974,PE,100
554,81.8167,24.02,24.02,62,10.41,7.4167,1670466974,LK,100
555,32.5818,-2.27,-2.27,94,5.28,52.1783,1670466975,UA,100
556,114.9278,-10.15,-10.15,93,5.51,60.7253,1670466975,RU,100
557,173.1667,17.58,17.58,80,6.91,-35.1667,1670466975,NZ,100
558,71.7632,-19.93,-19.93,98,2.82,54.3663,1670466976,RU,28
559,-70.2286,13.1,14.26,98,4.63,41.7057,1670466981,US,100
560,-117.136,-22.94,-22.94,77,3.6,58.5169,1670466982,CA,100
561,126.2925,-11.81,-11.81,93,5.4,58.9564,1670466982,RU,100
562,121.6247,-38.98,-38.98,100,1.16,63.7553,1670466797,RU,63
563,38.1182,-9.33,-8.6,79,8.05,55.619,1670466982,RU,75
564,81.3833,22.95,22.95,57,3.52,16.6,1670466983,IN,100
565,12.6946,-7.32,-4.59,81,1.12,57.5073,1670466983,SE,92
566,109.2333,25.63,25.63,88,8.57,13.7667,1670466984,VN,77
567,95.3333,21.89,21.89,37,0.44,28.0667,1670466984,IN,22
568,-73.2472,25.02,25.02,88,0.51,-3.7481,1670466985,PE,75
569,26.4,2.51,2.51,90,2.06,46.4333,1670466985,RO,100
570,-63.5724,8.1,8.58,97,10.29,44.6453,1670466841,CA,100
571,-8.5306,1.65,1.65,93,5.66,51.7075,1670466986,IE,20
572,-42.12,19.33,19.33,99,0.75,-19.5492,1670466986,BR,100
573,-80.6094,-23.01,-23.01,77,3.09,51.2585,1670466986,CA,0
574,-105.7677,-16.03,-16.03,66,3.09,53.2001,1670466886,CA,100
575,88.6667,-22.99,-22.99,96,0.79,50.0,1670466987,RU,97
576,124.2928,25.81,25.81,69,2.1,7.9986,1670466740,PH,100
